sku,is_in_stock,new_qty,status
MET-DESK-574A-3S-BK-OA,1,106,In Stock
MET-DESK-574B-BK-OA,1,181,In Stock
MET-DESK-574C-5S-BK-OA,1,200,In Stock
OTM-A1-H13-TA,1,0,Quantity < 25, set to 0
OTM-L2-BK,1,189,In Stock
OTM-L2-LINEN-GY,1,114,In Stock
OTM-L2-LINEN-LI-GY,1,94,In Stock
OTM-L2-WH,1,87,In Stock
OTM-ROUND-01-L40-GY,1,200,In Stock
OTM-ROUND-02-L60-GY,1,200,In Stock
RD-4016-4P-NT,1,65,In Stock
RD-4019-3P-WH,1,0,Quantity < 25, set to 0
RD-4019-4P-WH,1,53,In Stock
RD-C-8001-3P-BK,1,78,In Stock
RD-C-8001-4P-BK,1,183,In Stock
RD-C-8001-4P-WH,1,200,In Stock
RD-C-8001-6P-NT,1,150,In Stock
RD-D-PLY-217-WHEEL-BK,1,99,In Stock
RD-HLW01-4P-WH,1,110,In Stock
SALON-B-ERG-NEW-BK,1,38,In Stock
SC-PLS-115L-YL,1,64,In Stock
ST-CAB-1D-1B-WHX2,1,37,In Stock
ST-CAB-1D-VIN-WH,1,200,In Stock
ST-CAB-2D-VIN-GYX2,1,0,Quantity < 25, set to 0
ST-CAB-3D-WH,1,0,Quantity < 25, set to 0
ST-CAB-B-3D-BK,1,96,In Stock
ST-CAB-B-3D-WH,1,200,In Stock
ST-CAB-B-VIN3D-BU,1,84,In Stock
ST-CAB-SHELF-3T-WH,1,99,In Stock
STACK-SHOE-02-BK,1,200,In Stock
STACK-SHOE-03-BK,1,200,In Stock
STACK-SHOE-04-BK,false,0,Not Found in API Response
STACK-SHOE-05-BK,1,180,In Stock
STACK-SHOE-SR-02,1,200,In Stock
STR-3T-80-BK,false,0,Not Found in API Response
STR-3T-80-WH,1,200,In Stock
STR-B-4T-100-BK,1,121,In Stock
STR-B-4T-100-WH,false,0,Not Found in API Response
TV-MOUN-B-DVD014,1,60,In Stock
TV-MOUN-B02-BK,1,39,In Stock
TV-MOUN-S08-BK,1,88,In Stock
TV-MOUN-W04-BK,1,153,In Stock
UPHO-C-DIN-01-FA-BG,1,63,In Stock
V369-LA8001,false,0,Not Found in API Response
V63-848171,false,0,Not Found in API Response
V63-848181,false,0,Not Found in API Response
WBED-BRUNO-Q-WD,1,71,In Stock
WINE-RACK-12B,1,200,In Stock
WINE-RACK-12B-BK,1,200,In Stock
WINE-RACK-20B,1,131,In Stock
WINE-RACK-42B,1,91,In Stock
